k,coherence_cv,coherence_umass
5,0.556615820564334,-2.2511244834789244
6,0.5583329708325566,-2.291593715352488
7,0.5648308225776278,-2.537088349608143
8,0.5469142727224163,-2.4602302443294635
9,0.5763062126499499,-2.4468652488483826
10,0.5292767543997139,-2.573678440271
11,0.5378349781348497,-2.610278833737173
12,0.5448977123436203,-2.6155431264843063
