model_name,params,mean_test_score,std_test_score,mean_train_score,std_train_score,overfit_gap,rank_test_score,mean_fit_time
complement_nb,{'clf__alpha': 0.5},0.891942134460313,0.001643610209106477,0.9123541905694228,0.0002592064161807706,0.02041205610910979,1,1.9104853630065919
complement_nb,{'clf__alpha': 1.0},0.8910708351520393,0.0012364994458542139,0.9088255644337784,0.0005300874244505468,0.017754729281739046,2,1.8168829917907714
complement_nb,{'clf__alpha': 0.1},0.8909651881231936,0.0016335129689490887,0.9174970480807613,0.000659946010544471,0.026531859957567683,3,1.991557788848877
complement_nb,{'clf__alpha': 2.0},0.8889616175014092,0.0008273593612687779,0.9040119122799254,0.0002788886105481722,0.01505029477851616,4,1.3578149318695067
linear_svc,"{'clf__C': 0.1, 'clf__class_weight': 'balanced'}",0.9099072126342683,0.002181751107817114,0.9325419139478667,0.000564857177341877,0.02263470131359835,1,2.711337661743164
linear_svc,"{'clf__C': 0.1, 'clf__class_weight': None}",0.9097851135697482,0.0018056271078681818,0.9336499072110053,0.0005614195097018397,0.023864793641257043,2,1.962170171737671
linear_svc,"{'clf__C': 0.5, 'clf__class_weight': 'balanced'}",0.9089820060062872,0.0029335280652196577,0.9610962311031667,0.0005761154773804826,0.05211422509687946,3,2.2623450756073
linear_svc,"{'clf__C': 0.5, 'clf__class_weight': None}",0.9073795172204016,0.0026394810638760684,0.9633112469694046,0.00034633064183620577,0.05593172974900307,4,2.330275535583496
linear_svc,"{'clf__C': 1.0, 'clf__class_weight': 'balanced'}",0.9039891586644238,0.003141056372699111,0.9743807575087831,0.0002999718347243187,0.0703915988443593,5,2.4862269878387453
linear_svc,"{'clf__C': 1.0, 'clf__class_weight': None}",0.9027703300478873,0.0033686371028073194,0.9765293349720798,0.000323711077956956,0.07375900492419252,6,2.541154623031616
linear_svc,"{'clf__C': 5.0, 'clf__class_weight': 'balanced'}",0.8879408352256417,0.0035610919003715436,0.9931837039885834,4.747850972308109e-05,0.10524286876294164,7,2.1638883113861085
linear_svc,"{'clf__C': 5.0, 'clf__class_weight': None}",0.8867722255656231,0.0039479533866767225,0.9935201304621343,0.00022138315493403055,0.1067479048965112,8,2.5086341381072996
logistic_regression,"{'clf__C': 5.0, 'clf__class_weight': 'balanced'}",0.9084862601006798,0.0030168798815288144,0.9584240117710916,0.0004797391611616004,0.04993775167041181,1,1.8137230396270752
logistic_regression,"{'clf__C': 1.0, 'clf__class_weight': 'balanced'}",0.9083406117836924,0.0017033415325578155,0.9303964136182697,0.0004728124737681771,0.022055801834577338,2,2.343927764892578
logistic_regression,"{'clf__C': 5.0, 'clf__class_weight': None}",0.9071040033701567,0.003242917898930491,0.9605440594465691,0.00032450319453852973,0.053440056076412334,3,2.323840618133545
logistic_regression,"{'clf__C': 1.0, 'clf__class_weight': None}",0.9070530542869328,0.0017337454457255434,0.9310412041938448,0.0006446942934684545,0.023988149906912004,4,2.08854079246521
logistic_regression,"{'clf__C': 0.5, 'clf__class_weight': 'balanced'}",0.9047114433284381,0.001388155649011319,0.9204633939762346,0.00040481288662753414,0.015751950647796442,5,2.0366302013397215
logistic_regression,"{'clf__C': 0.5, 'clf__class_weight': None}",0.904299671417683,0.0016564768355492808,0.9199560269996632,0.000281368451394531,0.015656355581980197,6,2.1146738529205322
logistic_regression,"{'clf__C': 0.1, 'clf__class_weight': 'balanced'}",0.8933675630138509,0.0014878403399843367,0.9000462077501817,0.0004379783479197776,0.006678644736330841,7,2.273184633255005
logistic_regression,"{'clf__C': 0.1, 'clf__class_weight': None}",0.8897743932166717,0.001616967245648611,0.8961908059673325,0.0003899108003669962,0.006416412750660738,8,2.0757737159729004
multinomial_nb,{'clf__alpha': 0.5},0.9056608549206849,0.002473868823400293,0.9261949615923133,0.0006401309163820829,0.02053410667162836,1,2.0013492107391357
multinomial_nb,{'clf__alpha': 1.0},0.9049752532389842,0.0023785224417268045,0.9225230989316839,0.0005258721224082132,0.017547845692699737,2,1.8874642848968506
multinomial_nb,{'clf__alpha': 0.1},0.9047441858327673,0.002606845298665311,0.9308264255133185,0.0007734798812258309,0.026082239680551234,3,1.8579474449157716
multinomial_nb,{'clf__alpha': 2.0},0.9035810160032414,0.0022898649880179374,0.9181392184795903,0.0005709120844334835,0.01455820247634898,4,1.2803075790405274
