token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
rb,1133,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",ribu,
dpt,1022,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,dapat,
karna,1020,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,karena,
jek,994,False,terimakasih go-jek,gojek,
food,965,False,nunggu driver untuk go food bisa 2 jam makin parah gojek,food,
voucher,953,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",voucher,
up,873,False,"sekarang nyari driver susah banget, padahal banyak di sekitar tapi gak ada yg mau pick up",up,
batalin,871,False,pesen ga datang2 ujungnya suruh batalin,batalkan,
promonya,823,False,ok trimakasih banyak promonya.,promonya,
gimana,799,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",bagaimana,
ribet,797,False,"mau apapun jadi sat set tnpa ribet bersama gojek, memang andalan.",ribet,
update,795,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",pembaruan,
gw,795,False,ini kenapa dah tolong gojek yg bener gw dah pesen makanan di dua resto berbeda selalu dibatalkan tiba tiba,saya,
gitu,771,False,"aplikasi rusak udh nunggu lama lama dibatalin terus ampe 6 kali, estimasi nyampe 14 menit pas udh 2 menit driv",begitu,
lg,770,False,"aplikasi tolol, dibatalin tiba2 udh nunggu lama, mana cuma minta maaf doang! 3x dicancel dengan waktu tunggu. ",lagi,
bener,761,False,gile gofood nya lama bener hampir 1 jam,benar,
best,760,False,the best,terbaik,
grab,734,False,"aplikasi tolol. dibandingkan dengan grab dan maxim gojek jauh di bawah. sudah mahal, susah bener dapat driver.",grab,
goride,733,False,"saya naik goride setiap minggu sudah 3 bulan, harga nya 12k, tiba² harga nya jadi 15k",goride,
nyari,724,False,sulit nyari driver,mencari,
hp,720,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",ponsel,
mulu,708,False,"gk jelas nih, dapet drivernya jauh mulu",terus,
the,667,False,the best,the,
respon,655,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",respons,
jd,626,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",jadi,
mantab,617,False,pelayanan mantab,mantap,
dr,612,False,mudah2an lancar lagi ya limit gopinjamnya ya min. dr mulai diksh limit 800 loh.,dari,
jg,606,False,"selama ini selalu nyaman pakai gojek, lebih murah jg 😊",juga,
trus,591,False,tarif nya uda seminggu ini knp mahal trus. sy rutin bolak balik ktr kerumah biasa paling mahal 15 rb tapi ini ,terus,
nice,589,False,nice app☝🏻,bagus,
app,586,False,nice app☝🏻,aplikasi,
sdh,568,False,"kecewa banget dengan estimasi jam kedatangan..sdh nunggu lama, malah gak dapat driver.hingga waktu terbuang..d",sudah,
login,556,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",login,
cepet,552,False,"kecewa banget sih lagi butuh cepet malah harus nunggu 30 jam buat daftar, untuk pendaftaran mungkin harus dipe",cepat,
pdhl,544,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,padahal,
gopaylater,544,False,"tiba tiba gopaylater saya diblokir, padahal saya selalu tepat waktu bayar tagihannya",gopaylater,
dibatalin,539,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,dibatalkan,
si,538,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",si,
utk,531,False,"telah pindah email hp.lok.propinsi t.pernah bermitra driver gojek dijkrta,dpt undangan utk aktifkan aplikasi m",untuk,
job,531,False,good job,pekerjaan,
dgn,527,False,alhamdulillah dgn adanya gojek yg tidak bisa nyetir sendiri bisa pergi kemana mana dgn selamat mksh gojek,dengan,
males,517,False,"asli pesen gofood pas ujan harus sabar"".. pernah pesen jam 8 malam datang jam 10 malam padahal dket cuma 2-3 k",malas,
mesen,506,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,memesan,
gosend,481,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,gosend,
an,474,False,"udh tau buru² driver batalin tanpa bilng padahal udh setengah jalan itu kocak kocak ni gojek, harus nyari driv",sekitar,
tpi,470,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",tapi,
banyakin,467,False,banyakin promoo atuh,perbanyak,
km,466,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",kilometer,
ny,464,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",nya,
eh,459,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",eh,
paylater,459,False,udh lama pake gojek..tapi gk pernah bisa pake paylater nyaa,paylater,
rating,452,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",rating,
ngasih,448,False,perusahaan tersadis kepada drivernya karena punishment yg di berikan terlalu berat dan konsumennya pun asal ng,memberi,
skrg,447,False,"kemarin hampir 6 bulan gak bisa nulis review, skrg udh bisa. eeeehhh malah giliran gak bisa ambil foto dari ga",sekarang,
no,443,False,"setelah no telfon di blokir karna alasan yg sebenernya bukan salah aku di aplikasi sebelah, akhirnya beralih l",nomor,
makasih,441,False,makasih,terima kasih,
dicancel,429,False,"aplikasi tolol, dibatalin tiba2 udh nunggu lama, mana cuma minta maaf doang! 3x dicancel dengan waktu tunggu. ",dibatalkan,
lu,429,False,custemer di rating??bayangin aja beli di indomaret lu di tolak karena mungkin gak ramah?siapa yang jualan jasa,kamu,
later,427,False,gopay later ga bisa digunakan maaf saya kasih bintang 3,later,
ni,414,False,"udh tau buru² driver batalin tanpa bilng padahal udh setengah jalan itu kocak kocak ni gojek, harus nyari driv",ini,
tetep,411,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",tetap,
tuh,411,False,kalau punya driver tuh minimal yg tau caranya bersyukur min. ini udh ga bersyukur masih di kasih orderan malah,itu,
krn,410,False,"hari ini saya pesan gocar ber5 dgn anak, sopir kurang sopan agak marah karena kami pesan gocar biasa, saya tid",karena,
error,410,False,sistem pemesanan makanan dan maps sering error terutama saat setelah hujan. saya menunggu pemesanan makanan > ,error,
maps,408,False,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",peta,
deket,404,False,kenapa pas butuh banget di kasih driver rada jauhan? pas santai di kasih yg deket?,dekat,
sya,374,False,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",saya,
yaa,366,False,"apa punya ku aja yaa, saat mau pesan go-send tidak muncul yang untuk chat hanya saja tersedia tlp?",ya,
online,361,False,online dari kemarin gak di kasih orderan maksdnya apa,online,
ojol,356,False,sok-sokan pasang tarif pengiriman termahal dari aplikasi ojol lain. tapi nyatanya gojek tetap tidak bisa memas,ojek online,
service,350,False,excelent service,layanan,
ku,348,False,"untuk sekarang ku kasih bintang 2 karna skrg tgl 28/12/2025 jam 13.23 wib blm nemu driver, sulit nemu driver! ",saya,
trs,347,False,"diperhatiin lah driver""nya, sering bngt dpt driver muda yg cabul, apaancoba, ngegoda"" trs nnti blg byarnya dki",terus,
in,347,False,"nyusahin, mo log in pake harus vermuk segala, mana gagal terus ,",in,
mantul,342,False,mantul,mantap,
bs,331,False,"sebenarnya pelayanan oke bgt,sy pengguna gojek uda lama.cuma agak kecewa sma pelayanan gofoodnya skrg ga kya d",bisa,
laper,328,False,mesan makanan make reguler sm yg express sama sama lambat terus nge bug di 31 menit (udh 1 jam pesan tapi meni,lapar,
ongkirnya,325,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",ongkos kirimnya,
org,322,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",orang,
download,302,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,unduh,
lgi,301,False,sekarang kualitasnya jelek masa nyari driver lamanyaa 1 jam lebihh ntah gofood atau gocar lama bgtt nyari driv,lagi,
ngambil,299,False,"dengan adanya apk gojeg ,gofood semua jdi mudah , tapi sekarang kebanyakan yg gofood pada ngambilnya orderanny",mengambil,
admin,297,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,admin,
car,297,False,klo lg hujan susah bgt dpt nya. suka pd cancel jg pdhl pesennya go car. bikin telat sampe 30 menitan ga ada yg,car,
knp,296,False,tarif nya uda seminggu ini knp mahal trus. sy rutin bolak balik ktr kerumah biasa paling mahal 15 rb tapi ini ,kenapa,
sm,286,False,saya ngulang pesanan tapi ga lgsg kebatalin sm pihak gojeknya alhasil pesanan saya double,sama,
express,281,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",ekspres,
baguss,277,False,baguss² sajaa,bagus,
dg,274,False,welldone. harga ga masalah. yg penting sampai tujuan dg selamat. driver komunikatif. oke lah,dengan,
so,270,False,"so far ngebantu gw bangett,, 8th pake gojek",so,
notif,266,False,"setolol ini, ada riwayat pinjam dan chat dc yang sama sekali ga ada adab sesama manusia, telat 2 hari dan masu",notifikasi,
dateng,262,False,lama banget dateng nya telat sampe 3 kali,datang,
bngt,257,False,sipp bngt,sangat,
dri,257,False,"tolong dong kalo emg posisinya emg jauh atau dia lagi ada kendala dijalan apa ngomong jngn diem aj, perna aku ",dari,
gomart,256,False,masa gomart ga bisa dibatalin,gomart,
dlm,255,False,"sangat mudah dan tepat klo sedang dlm ke adaan darurat, mempermudah perjalanan kemana pun tujuan kita...",dalam,
nungguin,251,False,"awal² bagus sih, tapi lama² aneh. susah dapat driver, padahal kondisi lagi gak hujan dll, plis tolong perbaiki",menunggu,
jos,251,False,jos,mantap,
meow,247,False,meow meow meow meow meow,,1
make,246,False,"makin hari, tarif gojek makin mahal. malah jadi 2 x lipat. padahal udah make yang hemat",pakai,
bug,245,False,full bug,bug,
uninstall,245,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,uninstall,
ujan,243,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",hujan,
dll,243,False,"awal² bagus sih, tapi lama² aneh. susah dapat driver, padahal kondisi lagi gak hujan dll, plis tolong perbaiki",dll,
jdi,240,False,"salah satu driver ada yg minta bayaran lebih,karna saya menmbawa penumpang lebih dari 4 minta tambah 20k,dari ",jadi,
costumer,235,False,permainan ini sangat seru jika kita memiliki byk pelanggan tapi sering sepi dan costumer aneh' tolong kedepann,pelanggan,
ride,229,False,"kenapa goride hematnya terbatas,padahal saya sudahs angat terbantu karena seminggu 2x rutin ke rumah sakit,tap",ride,
mantapp,228,False,makin mantapp,mantap,
aplikator,228,False,"potongan biaya aplikasi 1000-3000, potongan dari ongkos yg dibayar penumpang 20% kadang lebih, sekarang aplika",aplikator,
double,226,False,double order tambah lama nunggunya bagi customer,ganda,
pay,226,False,"kok gojek ga ada fitur pembayaran pke qris ya min, gabisa ditambahin fitur qris nya, biar mempermudah juga ora",pay,
ngotak,225,False,ga ngotak nih operatornya..... jauh² bangetz driver nya.,masuk akal,
yah,225,False,"kasih saran aja deh ,klu bisa dalam pemesanan makanan atau minuman ,bisa ggk yah ongkir nya jangan mahal2 ,ser",ya,
gojeg,225,False,gojeg mantap,gojek,
dipake,222,False,"alhamdulillah udh bisa login lgi. dlu gabisa login karna harus verifikasi pake nomor yg lama, sedangkan nomor ",dipakai,
bnyk,222,False,"bagus driver nya ramah"" dan ngerti etika, kalo ngobrol sama penumpang juga tau batasan mau beralih netap di si",banyak,
ad,219,False,"kocak,tiap mau pesen makan..sebelumnya ad promo diskon bayar pake superbank,tp pas tiap mau dibayar,promo nya ",ada,
ko,218,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",kok,
slalu,218,False,sukses slalu buat gojek,selalu,
is,217,False,gojek is the best cukup klik di apl ini lebih simpel dan semuanya bisa di klik aja deh gojek sllu di hati,adalah,
ilang,216,False,"kocak,tiap mau pesen makan..sebelumnya ad promo diskon bayar pake superbank,tp pas tiap mau dibayar,promo nya ",hilang,
skrng,215,False,kok skrng malah susah bgt ya dpt driver? pada kemana ini driver nya?,sekarang,
bnyak,215,False,bnyak promo diskon skrng,banyak,
mager,214,False,sangat membantu mesan makan yg lagi mager hehe,malas bergerak,
argo,211,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",tarif,
kaga,210,False,"halah dikit' internet mati internet mati, sinyal aja kaga jelek. gila ni apk jadi lama buat pesen nya",tidak,
pak,208,False,"aplikasi sangat berguna, terimakasih pak driver , driver sangat ramah",pak,
kl,205,False,woy ... customer...kl cuma argo 16 ribu g usah pesen taksi online lu. pesen bluebird aj lu...bikin ribet aj lu,kalau,
muter,204,False,"gofood dapet driver tua bangka, udah deh tamat.. nyari alamat muter² bloon",berputar,
it,204,False,"ini gojek kenapa selalu nyari driver yg jauh si padahal driver disekitar kita tuh banyak, jadi buang buang wak",itu,
nerima,202,False,"banyak driver tolol, nerima orderan tapi ditungguin gak jalan jalan",menerima,
nyampe,201,False,"aplikasi rusak udh nunggu lama lama dibatalin terus ampe 6 kali, estimasi nyampe 14 menit pas udh 2 menit driv",sampai,
simple,198,False,simple and helpfull,sederhana,
milih,194,False,susah milih titik apabila manual suka pindah otomatis untuk pemesanan goride/gocar,memilih,
krna,190,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",karena,
dlu,190,False,"alhamdulillah udh bisa login lgi. dlu gabisa login karna harus verifikasi pake nomor yg lama, sedangkan nomor ",dulu,
