token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
bnget,121,False,saat pesen gojek datang nya cepet bnget 10 menit udh nyampe,sangat,
mnt,121,False,"apk sampah driver cancel semua 40 mnt sia"", kalo banyak duit gk usah cari nafkah di ni apk",menit,
nunggunya,120,False,double order tambah lama nunggunya bagi customer,menunggunya,
narik,120,False,aplikasi nya bagus membantu. tapi ada sebagian driver mobil yang di order tidak bergerak bahkan di hubungi tid,mengemudi,
loading,120,False,"woiii balikin duit gw, gw mesen belum sampe tujuan udah disedot duluan rekening saldo gw, padahal drivernya ng",loading,
pemberitahuan,118,False,aplikasi ini miss pemberitahuan!,pemberitahuan,
sgt,118,False,sgt membantu,sangat,
ngebantu,117,False,"so far ngebantu gw bangett,, 8th pake gojek",membantu,
time,116,False,tks atas pelayanan drivernya yg on time 🙏👍,waktu,
tf,115,False,"sdh 6 tahun pakai ini tapi dgn kejadian ini saya sangat kecewa,. gojek tidak bisa menindak mitra yang kotor • ",transfer,
drive,115,False,"saya baru pertama kali nyoba drive barang, tapi dari tadi lama ga di terima ojol nya, padahal jarak deket cuma",drive,
nganter,114,False,"kalo misalnya dari awal gabisa nganter pesanan tolong dong dikasih tau penyebabnya sama tombol cancel, haduh g",mengantar,
nyaa,114,False,koneksi ke jaringan lama dan lemot padahal lagi mau diuse nyaa buru buru.....,nya,
full,114,False,full bug,penuh,
plat,114,False,"abg ojeknya berprilaku tidak sopan bicara nya, saya enggak terima dengan bicara nya dengan berkendaraan motor ",pelat,
shopee,114,False,"untuk area brebes tolong gofoodnya di percepat waktunya .. ada orang pengen makan sampa nunggu 50-70 menit , m",shopee,
acc,114,False,kali ini saya kecewa! tolong mitranya di perhatikan dan harap kontrol sopan santunnya!!! tadi saya order gofoo,setujui,
slot,114,False,"buat para customer jangan suka pakai layanan yang instant"" banyak potongan di ongkos nya.potongan ride dari 20",slot,
qris,113,False,apk gopay saya tidak bisa buat transfer ke bank qris dan lainya.tolong dong bantuanya,qris,
aktifitas,113,False,sangat membantu aktifitas harian saya,aktivitas,
supir,113,False,"supir nya terkadang banyak alesan terlalu jauh, murah lah, alesan gage lah.",pengemudi,
okee,113,False,okee good,oke,
se,112,False,"terlalu berisik banyak notif! kalau saya paksa matikan notif aplikasi, pas pakai jadi tidak notif. sangat meng",,1
josss,111,False,josss,mantap,
msh,110,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",masih,
far,109,False,"so far ngebantu gw bangett,, 8th pake gojek",far,
asik,108,False,asik,asyik,
nemu,108,False,"untuk sekarang ku kasih bintang 2 karna skrg tgl 28/12/2025 jam 13.23 wib blm nemu driver, sulit nemu driver! ",menemukan,
user,108,False,sangat baik dan user interface nya bagus sekali,pengguna,
kyk,108,False,"asli ga pernah dapet driver ramah, dijalan juga banyak banget driver gojek yg lawan arah, jadi bikin rawan kec",seperti,
drever,108,False,tolong.kepada.pihak.aplikasi.go.ojek.map.tlong.d.benarkan..jangan.jalan.perlahan.2.kaya.keong.bikin.drever.bin,pengemudi,
cpt,108,False,sll pake gojek karna cpt dpt drivernya,cepat,
siip,106,False,ok bagus...siip,sip,
gtu,105,False,awal2 murah. tapi makin hari tarif nya makin mahal. padahal dengan jarak tempuh yg sama. rmh kantor. kantor ru,begitu,
thank,105,False,thank you,terima kasih,
apknya,105,False,"gajelas, udah mesen nunggu lama tiba2 dicancel dri apknya, udah laper nambah emosi aja",aplikasinya,
wkwk,104,False,busehh gojek saking gak laku nya delay sampe 2 jam wkwk,tertawa,
plis,103,False,"awal² bagus sih, tapi lama² aneh. susah dapat driver, padahal kondisi lagi gak hujan dll, plis tolong perbaiki",tolong,
booking,102,False,"fitur kode booking tidak berguna, masa kita yang mencari driver bukan sebaliknya",pemesanan,
ngeselin,102,False,"bagus tapi iklanya sama aja kayak si oren, ngeselin..!! satu"" kek iklahnya cape banget harus pondah dari apk y",menyebalkan,
smua,102,False,di bali susah bgt dapet driver buat gocar susah bgt dpt driver padahl udah pke prioritas driver pada on tapi g,semua,
klu,101,False,"kasih saran aja deh ,klu bisa dalam pemesanan makanan atau minuman ,bisa ggk yah ongkir nya jangan mahal2 ,ser",kalau,
hrs,101,False,saya selalu pake gocar tdk ada aplikasi lain. tapi hari ini sy kecewa hrs batalin 3 kali saat hujan driver sus,harus,
cust,101,False,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",pelanggan,
sllu,101,False,gojek is the best cukup klik di apl ini lebih simpel dan semuanya bisa di klik aja deh gojek sllu di hati,selalu,
emng,101,False,"ko mahal sih tiba""?? aku kena charge 44rb padahal biasanya 26-27 rb gila. masa lebih mahalan drpd transportasi",memang,
bangettt,101,False,kenapa si nyari drivernya susahh bangettt pdhl kdng urgent😞,sangat,
hehe,100,False,sangat membantu mesan makan yg lagi mager hehe,tertawa,
emg,99,False,"tolong dong kalo emg posisinya emg jauh atau dia lagi ada kendala dijalan apa ngomong jngn diem aj, perna aku ",memang,
rame,99,False,gua telat ketinggal bus gegara gda yg mau ambil pdhl lagi rame di aplikasinya hdeh,ramai,
mantaap,98,False,mantaap,mantap,
server,97,False,"login gojek pun sudah betul pinnya, katanya salah pin, klik lupa pun dari 3 hari ini server sibuk terus, gilir",server,
nyesel,97,False,gimana sih tim menajemen gak becus bnr tiap abis hujan pd hal udh lewat 1 jam lalu hujanya masih aja susahnya ,menyesal,
jakarta,97,False,gosend 50 menit mencari driver padahal jakarta,jakarta,
ngeluh,96,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",mengeluh,
knpa,96,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,kenapa,
dapetnya,96,False,lama bgt dapetnya kalo ujan,dapatnya,
yaaa,96,False,"sumpahhh yaaa saya kesel bgttt sama driver gocar,,,, udh nunggu hampir sejam gaadtg saya follow-up by chat ga ",ya,
pt,96,False,"cancel sekali tiba tiba harga naik, apa ini ga jelas pt gojek. minimal otak dipake malah makin beratin custome",pt,
balikin,94,False,"masa saya batalin transaksi pakai auto debet bank mandiri, saya udah lapor berkali2 di email dan udah lebih da",kembalikan,
vocer,94,False,"aplikasi gajelas makin lama di pake makin bnyk update makin g ada vocer dan makin lemot, di saat buru buru mal",voucher,
dpet,94,False,klo waktu tunggu jgn lama2.. sudah niat cancel waktu tinggal 1 menit mlh dpet driver.. pdhl udh nunggu 1jam an,dapat,
hadeh,93,False,burikkk bngtt sistem gofood nya sumpah orng harus nunggu 1 jam lebih buat tunggu kabar tpi ga bsa di cancel ma,aduh,
goto,93,False,maju goto,goto,
discount,92,False,"di kolom pencarian kok gangguan melulu yah... saya mau mesen makanan pas di cari "" maaf lagi gangguan"". kalau ",diskon,
nyangkut,92,False,"aplikasi aneh akun saya tiba"" nyangkut di akun orng lain udh di lepas g bisa"" tolong di perbaiki",tersangkut,
xl,91,False,"hari ini saya pesan gocar ber5 dgn anak, sopir kurang sopan agak marah karena kami pesan gocar biasa, saya tid",xl,
pd,91,False,"driver nya pd kaya,kek gampang banget cancel orderan pembeli😊",pada,
byr,91,False,"tolol bego kali saya kn bayarr terus gojek playlater,knp sekarang gak bisa dipake lg, gilaaa apa gojek tutup a",bayar,
ngelag,90,False,ok bagus cuman suka agak ngelag agar terus diperbaiki,lag,
trima,90,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",terima,
gocarnya,90,False,"saya pesen gocar dengan harga yg menjangkau tiba"" dicancel sama gocarnya suruh pesen lagi malah dapet harga 2 ",gocar-nya,
markotop,90,False,terbantukan and top markotop,mantap,
ngaco,89,False,"gojek sengaja banget ingin membuat performa drivernya turun drastis, dengan memberikan orderan dengan titik pe",kacau,
ah,89,False,"sudah coba langganan,makin jelek lagi, kapok ah,kapok selamanya",ah,
refund,89,False,"saya kecewa dengan sistem refund gojek, di aplikasi mengatakan saldo sudah di refund tapi yang du refund cuma ",pengembalian dana,
nanya,89,False,"demi allah kejadian baru banget sebelum pulang sekolah, temen ku di jemput gojek namanya muh. sidiq abid awali",bertanya,
pickup,88,False,"drivernya gaada yang mau pickup pesanan, padahal kita nunggu udah lama banget",jemput,
tbtb,88,False,"parah banget sistemnya sekarang. udah berkali kali pesen pakai gojek selalu nunggu ordernya sampai 1 jam, lalu",tiba-tiba,
mantaf,88,False,mantaf sopan,mantap,
woi,88,False,woi ngiklan yg bener,woi,
jt,88,False,gara-gara driver sameday lu ga ngambil orderan gua. paket gua dicancel otomatis sama shopee. ga jelas emg same,juta,
ksh,88,False,selama sy dibikin nyaman sy ksh bintang lima,kasih,
gps,88,False,"maaf saya berkali2 saya ganti driver. karena hujan, but animasi gps motornya gak jalan, para driver gak chat s",gps,
pdahal,87,False,aplikasi nya bagus membantu. tapi ada sebagian driver mobil yang di order tidak bergerak bahkan di hubungi tid,padahal,
jga,87,False,"baru pengalaman pertama pakai aplikasi sdh di bkin kecewa, sdh nunggu 1 jam driver belum jga ketemu, yang awal",juga,
tokopedia,86,False,"kenapa saldo gopay latter saya di blokir lagi?padahal saya tadi mau beli hp di tokopedia, tiba-tiba saldo di b",tokopedia,
love,86,False,"lancarrr banget sangat memudahkan dalan segala aspek, lapar, jalan, transaksi muach love youuu semoga menjadi ",suka,
nggk,85,False,gojek sekarang drivernya udh bisa memanipulasi waktu ya? yg katanya makanan sampai dalam 6 menit hampir 20 mni,tidak,
woy,85,False,gojek jgn harganya terlalu mahal banget lah turunin harganya kasian rakyat woy !,woy,
mikir,85,False,"gojek sekarang mau di komplain pengaduan apapun sudah tidak akan di dengar,,aplikasi ini sudah jadi aplikasi s",berpikir,
joss,85,False,"gojek sangat membantu saya dalam media transportasi,sangat bagus,joss",mantap,
dh,85,False,payah ini aplikasi gk bisa beli tiket krl padahal dh pake versi terbaru🤣🤣🤣🤣🤣🤣🤣🤣🤣,sudah,
attitude,84,False,drivernya kbnyakan -attitude dan lama dtng ke titik jemput,sikap,
pinjol,84,False,"aplikasi jelek, promo ditawarin kalau pake gopaylater!!! orang buat makan aja disuruh minjem dengan bunga sela",pinjaman online,
mo,83,False,"nyusahin, mo log in pake harus vermuk segala, mana gagal terus ,",mau,
dtg,83,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",datang,
segitu,83,False,"maaf bgt gojek aku kasih bintang 2, sering bgt mesen mkn ga dpt driver dan dikasih estimasi waktu utk pembatal",sebanyak itu,
cmn,83,False,"sistem kau beneri jarak jempot resto min 500 meter,kalo emng jauh balek ke semula sdh sampai di resto nyo biso",cuma,
fast,82,False,good additional fast transportation when crowd,cepat,
temen,82,False,pelangganya pada ribet nitip buat temen tp driver yg harus kontek temenya mending kalau alamatnya sesuai bukan,teman,
klw,82,False,"di area palopo klw pesan makanan, dtngnya lebih sejam an yah. buruk sangat",kalau,
nyoba,81,False,"saya kasih 5☆ blm nyoba sii, tp kalo ngecewain pelanggan langsung akuh turunin 4☆na! n` uninstall oke.. 😹🙏 ter",mencoba,
gmna,81,False,"kalo misalnya dari awal gabisa nganter pesanan tolong dong dikasih tau penyebabnya sama tombol cancel, haduh g",bagaimana,
maksa,80,False,"iklan mu ganggu, berulang dan selalu ke pencet sendiri, annoying, minimal gausah mencet"" sendiri biar ga ngins",memaksa,
gopinjam,80,False,"jangan pernah pake pilihan gopinjam ya kalian semua, memang salah konsumen trmsk saya sedikit telat untk memba",gopay pinjam,
call,80,False,"tolong ya gojek ditingkatkan lagi dong layanannya, pagi pagi buta saya tiba tiba di call driver disuruh bayar ",telepon,
ngebug,79,False,"tolong tingkatkan lagi sistemnya, masalah koneksi terus, pakai sinyal 5g, 4g sama aja. ngebug terus",bug,
bye,79,False,"sekarang jarang promo bahkan buat goride nya yang padahal paling murah biasanya, bye ganti applikasi ijo satun",selamat tinggal,
recommended,79,False,nah ini dia aplikasi keren duduk manis sampai laper klik butuh dana tinggal gunakan jarimu beli apa apa tingga,direkomendasikan,
tks,78,False,"saya bingung untuk gofood, saya sulit dapat driver, apakah alamat saya bermasalah, beda kalau goride & gocar c",terima kasih,
by,78,False,"10x memakai kurir by gosend buat antar barang dari toko pembelian,7x kecewa kendala putus komunikasi kurir gos",oleh,
send,78,False,"go send dari palmerah ke stasiun kalideres, lumayan mahal bang kadang 75k atau 50k akhirnya kita ke tiki dah b",send,
okey,78,False,okey bangett,oke,
alesan,78,False,pengemudinya banyak alesan buat tidak jemput,alasan,
vouchernya,78,False,kenapa setelah di update dan malah berbayar digojek plus. vouchernya jdi pada ilang dan ga semenguntungkan seb,vouchernya,
goceng,78,False,dibeberapa pengguna ga ada ongkir hemat ongkir gofood terdekat 12 rb kedrivernya berapa apa bener cuma goceng ,lima ribu,
ngerti,76,False,"bagus driver nya ramah"" dan ngerti etika, kalo ngobrol sama penumpang juga tau batasan mau beralih netap di si",mengerti,
nga,76,False,aplikasi saya nga bisa beli pulsa...di blokir terus.. sudah lapor juga tidak ada solusi,tidak,
ngirim,76,False,"admin tolong dibaca!! tolong aktifkan bagian pesan/massage nya ""tidak mendukung nya screenshot dan penghapus p",mengirim,
system,76,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",sistem,
wifi,75,False,kok saya pakai wifi tidak bisa buka gojek. setiap buka gojek pakai wifi selalu muter muter. tolong cek kenapa ,wi-fi,
jln,75,False,"klo emg gak mau ambil 1 motor 2 org, buatin aj yg ad fitur 2 org, klo ibu mau jln sma ank kan harus berdua dlm",jalan,
klau,75,False,"driver blum antar pesanan sudah meminta tips, pdhl tanpa di mintapun klau sudah smpai pesanannya pasti saya ks",kalau,
mart,74,False,minta tolong untuk go mart stok barang lebih di perhatikan terima kasih,mart,
smoga,74,False,"alhamdulillah aplikasi nya keren, sgt mudah penggunaan aplikasinya. kalo bisa driver² juga disarankan utk ngec",semoga,
nyasar,73,False,"pemilihan rute suka beda"" driver jadi bingung liat maps nya dan berakhir nyasar bikin penumpang telat.",tersesat,
mw,73,False,gocar skrng klo order suka ga mw ambil di diemin ga gerak chat ga di respon,mau,
mlh,73,False,klo waktu tunggu jgn lama2.. sudah niat cancel waktu tinggal 1 menit mlh dpet driver.. pdhl udh nunggu 1jam an,malah,
ngomong,72,False,"tolong dong kalo emg posisinya emg jauh atau dia lagi ada kendala dijalan apa ngomong jngn diem aj, perna aku ",berbicara,
responnya,72,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",responsnya,
da,72,False,ga da nomer custumer servicenya.. jd kurang ya. harusnya ada dunk. jd klau ada kendala cepat ditangani,ada,
for,72,False,"kecewa sama aplikasi ini di kasih driver selalu yang jauh, padahal driver depan muka pada nganggur. semoga sis",untuk,
center,72,False,"ingin komplain perihal oknum driver sangat susah sekali, call center tidak dapat dihubungin, lapor via email t",center,
tlp,71,False,"apa punya ku aja yaa, saat mau pesan go-send tidak muncul yang untuk chat hanya saja tersedia tlp?",telepon,
telp,71,False,gojek tidak bisa melindungi data diri dan nomor telp pengguna ... di akun saja ada teror dari dc debt colector,telepon,
tlg,71,False,"sebenarnya pelayanan oke bgt,sy pengguna gojek uda lama.cuma agak kecewa sma pelayanan gofoodnya skrg ga kya d",tolong,
review,71,False,"kemarin hampir 6 bulan gak bisa nulis review, skrg udh bisa. eeeehhh malah giliran gak bisa ambil foto dari ga",ulasan,
spam,71,False,"gojek the best, tapi sayangnya di massage bisa masuk spam dari nomor luar dan mengganggu banget spam2 penganca",spam,
nganterin,70,False,saya sangat kecewa atas pelayanan driver!!!.terkadang saya mengunakan voucer makanan/gopay coin kenapa kok gaa,mengantar,
okay,70,False,okay bagus,oke,
mksh,70,False,alhamdulillah dgn adanya gojek yg tidak bisa nyetir sendiri bisa pergi kemana mana dgn selamat mksh gojek,terima kasih,
bru,70,False,"dengan adanya apk gojeg ,gofood semua jdi mudah , tapi sekarang kebanyakan yg gofood pada ngambilnya orderanny",baru,
bales,69,False,"gak membantu. order selalu dapet yang jauh jadi selalu dibatalin, driver juga pada gak bales chat. buang-buang",balas,
rejeki,69,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",rezeki,
gojekk,69,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",gojek,
offline,69,False,"dapat driver go car atas nama atep supriatna, dengan mobil daihatsu sigra d1569vdp, memanfaatkan kesempatan da",offline,
expres,69,False,"kadang gofood pake expres tetap lama banget, udah kaya pake yg biasa, kesannya kaya percuma pake expres tapi s",ekspres,
la,69,False,"kalau saat order gofood tetapi driver tdk tersedia atau sulit dpt driver, harus ny customer bs langsung cancel",,1
wow,68,False,wow limitnya gede tp cuma 6 bln....syaaahduuuu ngeri2 sedap,wow,
diem,68,False,fitur scan qr nya benerin kek dari kemaren scan lemot banget udah ngepas juga masih diem aja buset,diam,
all,68,False,over all good,semua,
trims,68,False,tutup aja perusahaan gojeknya tahun depan gak bakal pakai gojek lagi sekian trims,terima kasih,
cansel,67,False,"susah order gocar,slalu di cansel driver,sekalinya dapet driver nunggunya lama sekitar 30 menit,itupun driver ",batal,
fiturnya,67,False,aplikasi syaiton benerin fiturnya. lu maksa fitur ga bisa di batalin . ganti fiturnya gua salah kirim alamat l,fiturnya,
mantaaap,67,False,mantaaap,mantap,
delay,66,False,sering delay dan sulit dapat pengemudi,delay,
okeh,66,False,okeh sip mantab,oke,
php,66,False,"yg di stasiun, harga murah dengan model input kode tidak bisa di input. php doang",pemberi harapan palsu,
please,66,False,"please banget! sediain fitur ""skrining validasi"" soalnya udah beberapa kali kecewa dengan goride, motor yg di ",tolong,
anj,66,False,sekarang sistem gofood kek anj dah god bye aja mending ke sebelah,anjing,
ber,65,False,"hari ini saya pesan gocar ber5 dgn anak, sopir kurang sopan agak marah karena kami pesan gocar biasa, saya tid",,1
kemaren,65,False,fitur scan qr nya benerin kek dari kemaren scan lemot banget udah ngepas juga masih diem aja buset,kemarin,
orng,65,False,"aplikasi aneh akun saya tiba"" nyangkut di akun orng lain udh di lepas g bisa"" tolong di perbaiki",orang,
ijo,65,False,"sekarang jarang promo bahkan buat goride nya yang padahal paling murah biasanya, bye ganti applikasi ijo satun",hijau,
aktifin,65,False,sya mau pergi pakai gojek gk bsa padahal sdh saya aktifin lokasi di hp saya gak bsa jga kayak heng gtu,aktifkan,
suspend,65,False,"akun saya tiba2 kena suspend, bilangnya ada pelanggaran. padahal saya lagi pesan transport. aneh banget mana g",suspend,
bgtt,64,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",sangat,
sebenernya,64,False,"setelah no telfon di blokir karna alasan yg sebenernya bukan salah aku di aplikasi sebelah, akhirnya beralih l",sebenarnya,
ehh,64,False,tolol.!!! mau pesen tiba2 ganti metode pembayaran ehh langsung beda selisih seribu orang keluar dari aolikasi ,eh,
lho,64,False,"kenapa goride hematnya terbatas,padahal saya sudahs angat terbantu karena seminggu 2x rutin ke rumah sakit,tap",lho,
gopaynya,64,False,"udh lama pake gojek, baru kali ini topup gopay malah gk masuk. turun b1 aja lah, masa iya disuruh nunggu 48 ja",gopay-nya,
belagu,63,False,"lama2 driver kalian gocar itu pada belagu, maunya yg trek pendek hargo mahal.. kalau hidup pengen gampang teru",sombong,
lgsg,63,False,saya ngulang pesanan tapi ga lgsg kebatalin sm pihak gojeknya alhasil pesanan saya double,langsung,
ajah,63,False,"sekira nya mahal jangan pake gojek ajah,tetep yang kena driver low ada apa""mh,jadi untuk semua pelanggan gojek",saja,
jm,63,False,emg kalo pke gocar yg hemat salah? namanya org dpt diskon kan? salah satu abang gocar nya ad yg g trma karena ,jam,
naikin,62,False,"makin sini driver nya makin malas, udah naikin harga ngga ada uang mau pick up. kalau sepi ngeluh aja..... jan",naikkan,
nah,62,False,semakin kesini kalau driver jarak dekat jarang ada yg mau.. kalau saya tanta driver potonganya gede makanya gd,nah,
out,62,False,aplikasi sangat membantu sih tapi ngeselin parrah kalau lagi jam sibuk plng kerja bukanya lemot minta ampun pa,out,
telfon,61,False,"setelah no telfon di blokir karna alasan yg sebenernya bukan salah aku di aplikasi sebelah, akhirnya beralih l",telepon,
gt,61,False,"kocak,tiap mau pesen makan..sebelumnya ad promo diskon bayar pake superbank,tp pas tiap mau dibayar,promo nya ",begitu,
instant,61,False,gosend bali sangat mengecewakan drivernya suka-suka cancel orderan sangat tidak rekomen terutama untuk e-com a,instan,
komplen,61,False,"penjualnya tidak amanah, makanan yg kita pesan berkurang,cth pesan 3 cuma dikasih 2. satunya ketika dikomplen ",komplain,
vermuk,60,False,"nyusahin, mo log in pake harus vermuk segala, mana gagal terus ,",verifikasi wajah,
sorry,60,False,"mau kirim barang, multi trip memang, tapi 1 arah, udah dapet 4 driver, semuanya ngebatalin, mana nyari drivern",maaf,
cancle,60,False,"driver atau toko seenaknya membatalkan pesanan , kalau tidak niat kerja gausa diterima , hapus aja aplikasinya",batal,
sll,60,False,sll pake gojek karna cpt dpt drivernya,selalu,
mapsnya,60,False,"update info terbaru : driver gofoodnya lama banget ngga dapat², lalu untuk pembatalan gofood nya lama banget, ",petanya,
like,60,False,pelayanan gojek transport selalu yg terbaik i like gojek🥰,suka,
csnya,60,False,"gak bisa lanjutin transaksi ini setiap transaksi dibawah 50 ribu, udah update yg terbaru juga ,chat laporan ro",layanan pelanggannya,
vocher,59,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",voucher,
wkwkwk,59,False,"tagihan receh nagihnyaa kaya cacing kepanasan wkwkwk, belom jatuh tempo udah panik 🤣🤣🤣🤣",tertawa,
close,59,False,apk sering close sendiri,menutup,
play,59,False,mohon bantuannya kak gopay dan gojek saya gak bisa login keterangan minta aplikasi resmi padahal udah download,play,
ngisi,58,False,"kok gojek ga ada fitur pembayaran pke qris ya min, gabisa ditambahin fitur qris nya, biar mempermudah juga ora",mengisi,
bnr,58,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,benar,
ud,58,False,"tolong dong kalo emg posisinya emg jauh atau dia lagi ada kendala dijalan apa ngomong jngn diem aj, perna aku ",sudah,
complain,58,False,ada kekurangan dari pengiriman gofood tapi complain lama sekali bahkan tidak ada respon. padahal bukti sudah s,komplain,
overall,58,False,"overall sih aplikasinya memudahkan banget , dan lagi paylaternya juga bisa digunakan disaat yg tepat . tpi sat",secara keseluruhan,
bgs,57,False,bgs aj,bagus,
sngat,57,False,trimkasih sngat2 membantu..,sangat,
lag,57,False,"lag banget woilah, ui + animasi nya di kurangin, minimaliskan ui nya, memang keren kalau kompleks, tapi kasian",lag,
kya,57,False,"dengan adanya apk gojeg ,gofood semua jdi mudah , tapi sekarang kebanyakan yg gofood pada ngambilnya orderanny",seperti,
thx,57,False,thx gojek perbanyak promo,terima kasih,
sihh,57,False,"go food nya kenapa sihh, heran selalu ngasih diver yang jauh"" emang ga ada yang deket apa? tempat makan 20 men",sih,
scam,57,False,"hati hati jangan simpan uang /saldo banyak di gopay /gojek karena aku gojek ku saldo gopay 2,3jta terblokir ta",penipuan,
this,57,False,"plis jek i need this, my gojek is agak lama dan gw ga bisa pulang",ini,
kelaperan,57,False,lu lagi laper banget pesen pengantaran ekspres berharap makanan lu sampe 30 sampe 40 menit tapi disuruh nunggu,kelaparan,
knapa,57,False,"mohon maaf saya pengguna gocar dan goride tiap hari,tp knapa kok makin lama tarif makin mahal gk menenentu.say",kenapa,
menggangu,57,False,hapus sistem waktu menuju restoran karena menggangu pekerjaan semua driver dan jangan pilih pilih driver yg ba,mengganggu,
nyebelin,56,False,"susah banget ganti ke pencarian berdasarkan menu, setiap nyari seringnya yang ketemu nama resto, padahal saya ",menyebalkan,
kluar,56,False,"apk mnyt, org nunggu2 lama.. malem2 laper pesen food di php.. menu batalin kluar setengah jam kemudian, driver",keluar,
ndak,55,False,gofiod ndak bisa di cancel. nunggu udh lama banget. menghambat kerjaan,tidak,
ui,55,False,"lag banget woilah, ui + animasi nya di kurangin, minimaliskan ui nya, memang keren kalau kompleks, tapi kasian",ui,
aamiin,55,False,"masnya baik banget,sukses untuk masnya dan semoga mas nya di berikan kemudahan, kelancaran dan kesehatan dalam",amin,
ontime,55,False,sangat ontime dan visual,tepat waktu,
nyantol,54,False,perasaan dulu customer order langsung nyantol ke resto dan drivernya sekarang harus nunggu dulu selama satu ja,terhubung,
lamaa,54,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",lama,
rmh,54,False,awal2 murah. tapi makin hari tarif nya makin mahal. padahal dengan jarak tempuh yg sama. rmh kantor. kantor ru,rumah,
mageran,54,False,penolong kaum mageran,malas bergerak,
bbrp,54,False,"sangat membantu, cuman ada bbrp driver yg lupa kalau dia bergerak di jasa layanan. jadi ya aneh2 gitu deh.",beberapa,
pelayananya,54,False,bagus pelayananya,pelayanannya,
worth,54,False,"ongkos bengkak padahal deket, ga worth it sama sekali, ini terakhir saya pake gojek, terimakasih gojek selama ",sepadan,
ma,54,False,tolong bikin iklan di apk lain yang bener bener dong tombol x nya itu malah redirect ke apk. gw udah download ,,1
ngebatalin,53,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",membatalkan,
supirnya,53,False,murah dan supirnya sangat membantu,pengemudinya,
rs,53,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",rumah sakit,
otw,53,False,"saya kasih 5☆ blm nyoba sii, tp kalo ngecewain pelanggan langsung akuh turunin 4☆na! n` uninstall oke.. 😹🙏 ter",dalam perjalanan,
dc,53,False,"setolol ini, ada riwayat pinjam dan chat dc yang sama sekali ga ada adab sesama manusia, telat 2 hari dan masu",debt collector,
tsb,53,False,mohon dicek lagi updatenya boss. banyak pengguna yg gak bisa login karena lup pin dan stlh dpt kiriman kode ot,tersebut,
ugal,53,False,"driver kalian itu di seleksi lagi, banyak yg gk beres dan suka ugal2an di jalan dan tidak mematuhi peraturan l",ugal-ugalan,
mantaps,53,False,ok mantaps,mantap,
applikasi,52,False,"applikasi ok,driver ok",aplikasi,
thn,52,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",tahun,
voucer,52,False,saya sangat kecewa atas pelayanan driver!!!.terkadang saya mengunakan voucer makanan/gopay coin kenapa kok gaa,voucher,
duluan,52,False,"tolong lah kalo ga dapet dapet driver sekitar 10 menit langsung ada opsi cancel, gw nunggu dapet driver dari j",lebih dulu,
lahh,52,False,setiap pemesanan goride fitur chat nya centang satu mulu!! sinyal kenceng masa iya karena sinyal? tolong perba,lah,
gosen,52,False,gojek gosen ok lh saat gk bs jln sndri ad gojek kirim barang ad gosen,gosend,
ntah,51,False,sekarang kualitasnya jelek masa nyari driver lamanyaa 1 jam lebihh ntah gofood atau gocar lama bgtt nyari driv,entah,
install,51,False,"ini saya mau install grab, tp harus hapus 2 apk sekaligus, mana 2 apk ini yg paling saya butuhkan. plus utk gr",instal,
satset,51,False,sekarang gojek jauh lebih lama ga kaya dulu biasane satset sekarang harus nunggu lebih lama terutama yang goje,cepat,
ojolnya,51,False,barusan psn kopi. kata ojolnya dikasih bintang 3. kok bisa????. krn dikasih bintang 3 gw. maka gw kasih bintan,ojek onlinenya,
